湖 南（955座）


序号 宫观名称 地址 派别
295 新恩阁 湖南省怀化市溆浦县岩家垅乡长潭村3组 正一

296 黑神殿 湖南省怀化市溆浦县思蒙乡仁里冲村2组 正一

297 黑神庙 湖南省怀化市溆浦县大江口镇思维溪村6组 正一

298 南岳庵 湖南省怀化市溆浦县卢峰镇斜里村8组 正一

299 财神馆 湖南省怀化市溆浦县卢峰镇民主街26号 正一

300 得雨庵 湖南省怀化市溆浦县水溢乡胡家坪村6组 正一

301 观音阁 湖南省怀化市溆浦县两丫坪镇荷花村4组 正一

302 幸福庵 湖南省怀化市溆浦县桐木溪乡南村2组 正一

303 长龙观 湖南省怀化市溆浦县低庄镇莲塘村6组 正一

304 金凤庵 湖南省怀化市溆浦县低庄镇金凤村11组 正一

305 石版侯王殿 湖南省怀化市溆浦县葛竹坪镇老院子村10组 正一

306 幸福庵 湖南省怀化市溆浦县卢峰镇茅坪村3组 正一

307 望云庵 湖南省怀化市溆浦县水田庄乡令吉冲村8组 正一

308 梁山殿 湖南省怀化市溆浦县均坪镇长坪村6组 正一

309 白牛庵 湖南省怀化市溆浦县新田乡新田村7组 正一

310 仙井庵 湖南省怀化市溆浦县桐木溪乡山门村8组 正一

311 祖师殿 湖南省怀化市溆浦县统溪河乡枫林村9组 正一

312 观音殿 湖南省怀化市溆浦县观音阁镇浆池湾村2组 正一

313 凤凰庵 湖南省怀化市溆浦县九溪江乡凤型村7组 正一

314 城隍庙 湖南省怀化市溆浦县岗东乡乐元村6组 正一

315 回龙庵 湖南省怀化市溆浦县卢峰镇桥头水村8组 正一

316 灵汉宫 湖南省怀化市溆浦县龙潭镇车岭村3组 正一

317 南岳殿 湖南省怀化市溆浦县葛竹镇楠木冲村1组 正一

318 黑神殿 湖南省怀化市溆浦县小江口乡滩头村4组 正一

319 灵泉山 湖南省怀化市溆浦县水田庄乡思婆溪村1组 正一

320 玉皇殿 湖南省怀化市溆浦县善溪乡一心村6组 正一

321 候龙庵 湖南省怀化市溆浦县观音阁镇胡青村4组 正一

322 天福寺 湖南省怀化市溆浦县仲夏乡野坪溪村4组 正一

323 太白山寺 湖南省怀化市溆浦县观音阁镇双江口村2组 正一

324 滴水洞 湖南省怀化市溆浦县双井镇新塘村2组 正一

325 垅阳殿 湖南省怀化市溆浦县岩家垅乡百花村5组 正一

326 仙水庵 湖南省怀化市溆浦县江口镇卢冲元村1组 正一

327 山峰庵 湖南省怀化市溆浦县祖师殿镇双庄村2组 正一

328 兴隆庵 湖南省怀化市溆浦县双井镇宝塔村4组 正一

329 江玄庵 湖南省怀化市溆浦县岩家垅乡凤凰村2组 正一

330 龙凤殿 湖南省怀化市溆浦县龙王江乡江东湾村5组 正一

331 龙王庙 湖南省怀化市溆浦县沿溪乡旺坪村5组 正一

332 女娲宫 湖南省怀化市溆浦县洑水湾乡枫香村5组 正一

333 观音庵 湖南省怀化市溆浦县卢峰镇黄花坪村6组 正一

334 红神庙 湖南省怀化市溆浦县卢峰镇散水塘村1组 正一

335 回龙殿 湖南省怀化市溆浦县卢峰镇三门垅村2组 正一

