湖 北（642座）


序号 宫观名称 地址 派别
171 金梅观 湖北省黄石市大冶市金湖街道办事处四斗粮村 全真

172 大仙庙 湖北省黄石市大冶市金湖街道办事处焦和村 全真

173 龙王庙 湖北省黄石市大冶市罗桥街道办事处金桥村上 全真

174 三元宫 湖北省黄石市黄石港区纺织二路 正一

175 明崇泰道观（吴王坛太子观） 湖北省黄石市经济技术开发区金山街办王坛村 全真

176 东洞 湖北省黄石市经济技术开发区汪仁镇四连山村 全真

177 章山古寺 湖北省黄石市经济技术开发区汪仁镇章畈村 全真

178 云峰山道观 湖北省黄石市经济技术开发区汪仁镇四连山村 全真

179 元帝庙 湖北省黄石市经济技术开发区阳新太子镇港泉 全真

180 武圣宫 湖北省黄石市铁山区龙衢湾社区长乐山中段北 正一

181 飞云洞道观 湖北省黄石市西塞山区黄荆山飞云公园内 全真

182 慈航阁 湖北省黄石市西塞山区陈家湾社区团山脑 全真

183 白鹤观 湖北省黄石市西塞山区陈家湾社区团山脑 全真

184 九龙宫 湖北省黄石市西塞山区黄荆山冯家垱 全真

185 慈航观 湖北省黄石市西塞山区中窑湾源建三村 全真

186 关圣宫 湖北省黄石市西塞山区和平街社区袁仓山上 全真

187 太清宫 湖北省黄石市西塞山区黄思湾东屏巷43号 全真

188 浒塘山道观 湖北省黄石市下陆区团城山街道办事处肖家铺 全真

189 普化宫 湖北省黄石市下陆区团城山街道办事处袁家畈 全真

190 东岳道观 湖北省黄石市下陆区东方路社区92号 全真

191 大塘畈道观 湖北省黄石市下陆区老鹳庙社区环村路3号 正一

192 玉女泉道观 湖北省黄石市下陆区江洋社区发展大道125 全真

193 颜真观 湖北省黄石市阳新县排市镇日清村 全真

194 寇公祠 湖北省黄石市阳新县富池镇丰山港下村 全真

195 百福三观（百福山道观） 湖北省黄石市阳新县白沙镇墩福村 全真

196 曹王殿 湖北省黄石市阳新县龙港镇月台村 全真

197 玉皇殿 湖北省黄石市阳新县白沙镇墩福村 全真

198 观音阁 湖北省黄石市阳新县龙港镇龙港村 全真

199 祖师庙（祖爷庙） 湖北省黄石市阳新县浮屠镇沿镇村 全真

200 白水寺（柯公祠） 湖北省黄石市阳新县枫林镇坡山村三房组刘姑 全真

201 龙王亭 湖北省黄石市阳新县枫林镇坡山村下山垅组黄 全真

