浙江（上）


序号   宫观名称   地址   派别
193 芙蓉镇岭底三官殿 浙江省温州市乐清市乐清市芙蓉镇岭底 正一

194 芙蓉镇吕家田龙岩道观 浙江省温州市乐清市芙蓉镇吕家田村 全真

195 芙蓉镇前横大殿 浙江省温州市乐清市芙蓉镇前横村 正一

196 芙蓉镇前横紫蝉观 浙江省温州市乐清市芙蓉镇前横村 正一

197 芙蓉镇山外东山殿 浙江省温州市乐清市芙蓉镇山外村 正一

198 虹桥镇南阳新宫观 浙江省温州市乐清市虹桥镇南阳村 正一

199 虹桥镇蒲岐北门玉皇宫 浙江省温州市乐清市虹桥镇蒲岐北门村 全真

200 虹桥镇蒲岐城隍庙 浙江省温州市乐清市虹桥镇蒲岐东门村 全真

201 虹桥镇蒲岐东外三合观 浙江省温州市乐清市虹桥镇蒲岐东外村 全真

202 虹桥镇蒲岐关圣庙 浙江省温州市乐清市虹桥镇蒲岐南门村 正一

203 虹桥镇上陶殿 浙江省温州市乐清市虹桥镇后塘村 全真

204 虹桥镇华湫赤岩宫 浙江省温州市乐清市虹桥镇华湫村 全真

205 翁垟街道樟树下青云道观 浙江省温州市乐清市翁垟街道樟树下村 全真

206 盐盆街道盐盆五岳圣庙 浙江省温州市乐清市盐盆街道樟北村 正一

207 盐盆街道盐盆永水宫 浙江省温州市乐清市盐盆街道盐盆村 正一

208 盐盆街道杨岙青云道观 浙江省温州市乐清市盐盆街道杨岙村 全真

209 雁荡镇白溪街狮山宫 浙江省温州市乐清市雁荡镇白溪街村 正一

210 雁荡镇大坟环东庙 浙江省温州市乐清市雁荡镇大坟村 正一

211 雁荡镇殿东龙岩庙 浙江省温州市乐清市雁荡镇殿东村 正一

212 雁荡镇殿东岩头庙 浙江省温州市乐清市雁荡镇殿东村 正一

213 雁荡镇陡门头颜候庙 浙江省温州市乐清市雁荡镇陡门头村 正一

214 雁荡镇方洞 浙江省温州市乐清市雁荡镇上灵岩村 正一

215 雁荡镇靖底施颜候庙 浙江省温州市乐清市雁荡镇靖底施村 正一

216 雁荡镇灵峰北斗洞 浙江省温州市乐清市雁荡镇灵峰 全真

217 芙蓉镇黄岙双岩宫 浙江省温州市乐清市芙蓉镇黄岙村 正一

218 芙蓉镇岭底三官殿 浙江省温州市乐清市乐清市芙蓉镇岭底 正一

219 芙蓉镇吕家田龙岩道观 浙江省温州市乐清市芙蓉镇吕家田村 全真

220 芙蓉镇前横大殿 浙江省温州市乐清市芙蓉镇前横村 正一

221 芙蓉镇前横紫蝉观 浙江省温州市乐清市芙蓉镇前横村 正一

222 芙蓉镇山外东山殿 浙江省温州市乐清市芙蓉镇山外村 正一

223 虹桥镇南阳新宫观 浙江省温州市乐清市虹桥镇南阳村 正一

224 虹桥镇蒲岐北门玉皇宫 浙江省温州市乐清市虹桥镇蒲岐北门村 全真

225 虹桥镇蒲岐城隍庙 浙江省温州市乐清市虹桥镇蒲岐东门村 全真

226 虹桥镇蒲岐东外三合观 浙江省温州市乐清市虹桥镇蒲岐东外村 全真

227 虹桥镇蒲岐关圣庙 浙江省温州市乐清市虹桥镇蒲岐南门村 正一

228 虹桥镇上陶殿 浙江省温州市乐清市虹桥镇上陶村 全真

229 虹桥镇上仙垟仙灵宫 浙江省温州市乐清市虹桥镇上仙垟村 正一

230 虹桥镇杏湾杏西殿 浙江省温州市乐清市虹桥镇杏湾村 正一

231 虹桥镇杏湾岳仙宫 浙江省温州市乐清市虹桥镇杏二村 全真

232 虹桥镇杏一龙山观 浙江省温州市乐清市虹桥镇杏一村 全真

233 虹桥镇杏庄五显殿 浙江省温州市乐清市虹桥镇建强村 正一

234 虹桥镇紫虹观 浙江省温州市乐清市虹桥镇八村河塘河 全真

235 乐成街道北门七圣殿 浙江省温州市乐清市乐成街道北门村 正一

236 乐成街道仓桥天后宫 浙江省温州市乐清市乐成街道仓桥村 正一

237 石帆街道竹屿东竹庙 浙江省温州市乐清市石帆街道竹屿村 正一

238 石帆街道竹屿杨府殿 浙江省温州市乐清市石帆街道竹屿村 正一

239 天成街道马良宫 浙江省温州市乐清市天成街道马良村 正一

240 天成街道万二平水龙王庙 浙江省温州市乐清市天成街道万二村 正一

241 翁垟街道沙头凌宵殿 浙江省温州市乐清市翁垟街道沙头村 正一

242 翁垟街道沙头玉真道观 浙江省温州市乐清市翁垟街道沙头村 全真

243 虹桥镇华湫打水湾杨府庙 浙江省温州市乐清市虹桥镇华湫打水湾 正一

244 虹桥镇凰岙下殿 浙江省温州市乐清市虹桥镇凰岙村 全真

245 虹桥镇里三金炉宫 浙江省温州市乐清市虹桥镇里三村 正一

