福 建（918座）



序号    宫观名称                                地址                              派别
165 闽侯甘蔗临水宫 福建省福州市闽侯甘蔗街道官庄山 正一

166 闽侯南通泽苗通天府 福建省福州市闽侯南通泽苗 正一

167 闽侯南通泽苗白岩云天宫 福建省福州市闽侯南通泽苗 正一

168 闽侯南通洲头瀛洲祖殿 福建省福州市闽侯南通洲头村 正一

169 闽侯南通凤岗天仙府 福建省福州市闽侯南通凤岗天仙府 正一

170 闽侯南通古灵庙 福建省福州市闽侯南通古城村 正一

171 闽侯南屿蕉府行宫 福建省福州市闽侯南屿南旗水西村 正一

172 闽侯南屿泰山堂 福建省福州市闽侯南屿南旗社区 正一

173 闽侯竹岐榕岸益乐宫 福建省福州市闽侯竹岐乡榕岸村 正一

174 闽侯荆溪厚屿天真堂 福建省福州市闽侯荆溪厚屿村 正一

175 闽侯上街溪源宫 福建省福州市闽侯上街榕桥村 正一

176 闽侯上街沙堤五仙宝殿 福建省福州市闽侯县上街沙堤村允如厝 正一

177 闽侯荆溪荆山境 福建省福州市闽侯荆溪徐家村 正一

178 闽侯荆溪溪头玄帝庙 福建省福州市闽侯荆溪溪头村 正一

179 闽侯荆溪古山洲恒山府 福建省福州市闽侯荆溪古山洲村 正一

180 闽侯荆溪龙文王庙 福建省福州市闽侯荆溪关东村 正一

181 闽侯荆溪坛山玄帝宫 福建省福州市闽侯荆溪坛山村 正一

182 闽侯青口付筑泰山宫 福建省福州市闽侯青口镇付筑村 正一

183 闽清金沙张圣真君祖殿 福建省福州市闽清县白沙镇金沙街中段 正一

184 闽清鹤璜溪仙观 福建省福州市闽清县鹤璜镇和平村鹤顶岩 正一

185 闽清毓麟宫 福建省福州市闽清县梅城镇城北路 正一

186 闽清桃花顶道观 福建省福州市闽清县梅溪镇榕星桃花顶 正一

187 福州帮洲广慧庙 福建省福州市台江区帮洲上游堤外 正一

188 福州九案泰山浦东堂 福建省福州市台江区工业路浦东村76—1 正一

189 福州九案泰山府 福建省福州市台江区太平里37号 正一

190 福州浦西福寿宫 福建省福州市台江区宁化路浦西6号 正一

191 福州张真君祖殿 福建省福州市台江区星安桥巷88号 正一

192 福州九案泰山涵头堂 福建省福州市台江区西洋路九号白马花园后 正一

193 福州鸭姆洲广应白马王庙 福建省福州市台江区红星新村62座边 正一

194 永泰方壶岩张圣君母殿 福建省福州市永泰县盘谷乡 正一

195 永泰名山室 福建省福州市永泰大洋镇旗杆村 全真

196 连城揭乐九龙观 福建省龙岩市连城县揭乐乡李屋岗 正一

197 连城文亨坤灵宫 福建省龙岩市连城县文亨乡湖峰村 正一

198 连城石门湖玉正观 福建省龙岩市连城县石门湖老君岩 正一

199 龙岩东肖南灵宫 福建省龙岩市新罗区东肖镇龙泉村 正一

200 龙岩东肖八甲铁山庙 福建省龙岩市新罗区东肖镇隔顶村 正一

201 龙岩东肖邓厝天子庙 福建省龙岩市新罗区东肖镇邓厝村 正一

202 建瓯五道师公庙 福建省南平市建瓯市东峰镇东峰村 正一

203 建瓯凤翼庙 福建省南平市建瓯市东峰镇霞镇村 正一

204 建瓯龙鞍岗太保庙 福建省南平市建瓯市小松镇龚垱村龙鞍钢 正一

205 建瓯东岳庙 福建省南平市建瓯市东门外东岳庙 全真

206 建瓯黄龙观 福建省南平市建瓯市玉山镇黄龙山 正一

207 建瓯文昌阁 福建省南平市建瓯市通济街道南门村水南文笔 正一

