甘 肃（615所）


序号 宫观名称 地址 派别
299 蒋台福神庙 甘肃省临夏回族自治州和政县新庄乡蒋台村金 全真

300 太极风云寺 甘肃省临夏回族自治州和政县松鸣岩镇中心村 全真

301 城隍庙 甘肃省临夏回族自治州和政县松鸣岩镇中心村 全真

302 中心龙王庙 甘肃省临夏回族自治州和政县松鸣岩镇中心村 全真

303 尕庄龙王庙  甘肃省临夏回族自治州和政县松鸣镇大山庄村 全真

304 福神庙 甘肃省临夏回族自治州和政县松鸣岩镇吊滩村 全真

305 王孟家庙 甘肃省临夏回族自治州和政县陈家集乡上王家 全真

306 宋家庙 甘肃省临夏回族自治州和政县陈家集乡宋家沟 全真

307 陈家洼庙 甘肃省临夏回族自治州和政县陈家集乡上王家 全真

308 乔常家庙 甘肃省临夏回族自治州和政县陈家集乡宋家沟 全真

309 贾百户庙 甘肃省临夏回族自治州和政县陈家集乡贾百户 全真

310 曹家山庙  甘肃省临夏回族自治州和政县三合镇尕新庄村 全真

311 清源庙 甘肃省临夏回族自治州和政县三合镇周刘家村 全真

312 刘家咀庙 甘肃省临夏回族自治州和政县达浪乡达浪村刘 全真

313 二郎岗庙 甘肃省临夏回族自治州和政县达浪乡杜家崖村 全真

314 韩沙二郎庙 甘肃省临夏回族自治州和政县三十里铺镇南阳 全真

315 闵家尕庙 甘肃省临夏回族自治州和政县三十里铺镇闵家 全真

316 拉里洼庙 甘肃省临夏回族自治州和政县卜家庄乡拉里洼 全真

317 民主山房庙 甘肃省临夏回族自治州和政县买家集镇民主村 全真

318 两关集庙 甘肃省临夏回族自治州和政县买家集镇两关集 全真

319 柳梅滩庙 甘肃省临夏回族自治州和政县买家集镇石咀村. 全真

320 财神殿 甘肃省临夏回族自治州永靖县太极镇上古村 全真

321 凌霄殿 甘肃省临夏回族自治州永靖县盐锅峡镇抚河村 全真

322 金花观 甘肃省临夏回族自治州永靖县盐锅峡镇下铨村 全真

323 三官殿 甘肃省临夏回族自治州永靖县盐锅峡镇焦家村 全真

324 黑台花果观 甘肃省临夏回族自治州永靖县盐锅峡镇新塬一 全真

325 南堡大悲寺 甘肃省临夏回族自治州永靖县关山乡南堡村华 全真

326 胥刘海家塬庙 甘肃省临夏回族自治州永靖县三塬镇刘塬村3 全真

327 城隍庙 甘肃省临夏回族自治州永靖县三塬镇两合村 全真

328 吾去明山道观 甘肃省临夏回族自治州永靖县陈井镇陈井村 全真

329 陈家花果观 甘肃省临夏回族自治州永靖县盐锅峡镇陈家村 全真

330 五云宝山观 甘肃省临夏回族自治州永靖县红泉镇黄刘村黄 全真

331 中庄二郎观 甘肃省临夏回族自治州永靖县太极镇中庄村 全真

332 王母宫 甘肃省临夏回族自治州永靖县盐锅峡镇抚河村 全真

333 吧咪山道观 甘肃省临夏回族自治州永靖县三条岘乡青和村 全真

334 吧咪山总庙 甘肃省临夏回族自治州永靖县三条岘乡青和村 全真

335 龙汇观 甘肃省临夏回族自治州永靖县刘家峡镇龙汇山 全真

336 南堡金花大殿 甘肃省临夏回族自治州永靖县关山乡南堡村 全真

337 松树岘道观 甘肃省临夏回族自治州永靖县关山乡南堡村 全真

338 抱龙山道观 甘肃省临夏回族自治州永靖县关山乡南堡村抱 全真

339 西北大成殿 甘肃省临夏回族自治州永靖县刘家峡镇大庄村 全真

340 大庄村五龙山道观 甘肃省临夏回族自治州永靖县刘家峡镇大庄村 全真

341 紫霄宫 甘肃省临夏回族自治州康乐县莲麓镇莲花山村 全真

342 拦家观 甘肃省临夏回族自治州临夏市枹罕镇王坪村 全真

343 白云观 甘肃省临夏回族自治州临夏市风林社区风林路 全真

344 苟家观 甘肃省临夏回族自治州临夏市折桥镇苟家村老 全真

345 胡家庄福神庙 甘肃省临夏回族自治州临夏市城郊镇堡子村 全真

346 刘家庙 甘肃省临夏回族自治州临夏市城郊镇瓦窑村 全真

347 金花坛 甘肃省临夏回族自治州临夏市城郊镇陈方村 全真

348 塔石沟祖师庙 甘肃省临夏回族自治州东乡族自治县唐汪镇塔 全真

349 林家村林家庙 甘肃省临夏回族自治州东乡族自治县东塬乡林 全真

350 林家村福神庙 甘肃省临夏回族自治州东乡族自治县东塬乡林 全真

351 积石山县寨子沟乡大张家尕庙 甘肃省临夏回族自治州积石山保安族东乡族撒 全真

352 积石山县徐扈家乡张家坟庙 甘肃省临夏回族自治州积石山保安族东乡族撒 全真

353 积石山县柳沟乡柳沟庙 甘肃省临夏回族自治州积石山保安族东乡族撒 全真

