江 西 省 道 观 大 全
序号   宫派名称             地址                       派别
229 武宁县曹坑九姑殿 江西省九江市武宁县澧溪镇曹坑村 全真

230 武宁县下坊五角殿 江西省九江市武宁县澧溪镇下坊村 全真

231 武宁县哨背岳王殿 江西省九江市武宁县澧溪镇哨背村 全真

232 武宁县甫田法院观 江西省九江市武宁县甫田乡杨廖村 全真

233 武宁县茶场莲花宫 武宁县茶场莲花宫 全真

234 武宁县聂家山太平宫 江西省九江市武宁县泉口镇丰田村 全真

235 武宁县田铺玄帝殿 江西省九江市武宁县石门楼镇田铺村1组 全真

236 武宁县厫下太阳神殿 江西省九江市武宁县石门楼镇厫下村 全真

237 修水县普济道院 江西省九江市修水县义宁镇良塘村仙姑岭 正一

238 修水县彭姑万寿宫 江西省九江市修水县四都镇彭姑村3组 全真

239 修水县财神庙 江西省九江市修水县城北余家巷70号 正一

240 修水县渣津万寿宫 江西省九江市修水县渣津镇集镇明星路25号 正一

241 修水县白云宫 江西省九江市修水县何市镇大板尖 全真

242 修水县香炉山瑞庆宫 江西省九江市修水县港口镇香炉山 正一

243 修水县黄龙山三清宫 江西省九江市修水县白岭镇黄龙山 全真

244 修水县庙岭乡万寿宫 江西省九江市修水县庙岭乡小山口王府里 全真

245 修水县全丰镇天灯观 江西省九江市修水县全丰镇南源村1组 正一

246 修水县上杭乡万寿宫 江西省九江市修水县上杭乡上杭村18组 正一

247 修水县雷峰尖古殿 江西省九江市修水县马坳镇雷峰山 正一

248 修水县纱笼万寿宫 江西省九江市修水县港口镇沙笼桥村 正一

249 庐山仙人洞 江西省九江市庐山环山路1261号 全真

250 庐山报恩观 江西省九江市庐山莲花洞森林公园内 全真

251 经开区永安万寿宫 江西省九江市开发区永安乡官湖村一组 全真

252 经开区观音阁 江西省九江市开发区永安乡爱国村四组 全真

253 经开区火王庙 江西省九江市开发区永安乡永安村十四组 全真

254 经开区茶庵庙 江西省九江市开发区永安乡爱民村十组 全真

255 景德镇市九皇宫 江西省景德镇市昌江区紫晶路九皇宫 正一

256 昌江区斗姆宫 江西省景德镇市昌江区竟成镇河西村 全真

257 安源区玉皇阁 江西省萍乡市安源区城郊管委会青坪管理处 全真

258 安源区横龙洞纯阳观 江西省萍乡市安源区城郊管委会长兴馆管理处 全真

259 安源区天符宫 江西省萍乡市安源区城郊管委会井冲管理处 全真

260 安源区中山庙 江西省萍乡市安源区青山镇下柳源村 正一

261 安源区六毒庙 江西省萍乡市安源区高坑镇泉江村 全真

262 安源区石板鸭云庙 江西省萍乡市安源区安源镇石板村 正一

263 安源区后埠韩浒庙 江西省萍乡市安源区城郊管委会后埠管理处 全真

264 安源区仰山庙 江西省萍乡市安源区高坑镇茶园村 全真

265 安源区荷塘庙 江西省萍乡市安源区丹江街联星村 全真

266 安源区长兴馆二王庙 江西省萍乡市安源区城郊管委会长兴馆管理处 全真

267 安源区蔡公庙 江西省萍乡市安源区高坑镇彭泉村 全真

268 安源区雷塘庙 江西省萍乡市安源区五陂镇五陂村 全真

269 安源区大城傩神庙 江西省萍乡市安源区青山镇大城村 正一

270 安源区茶岭下傩神庙 江西省萍乡市安源区青山镇大城村 正一

271 安源区福主祠 江西省萍乡市安源区青山镇光辉村 正一

272 安源区井冲福主庙 江西省萍乡市安源区城郊管委会井冲管理处 全真

273 安源区高坑龙王庙 江西省萍乡市安源区高坑镇王家源村 全真

274 安源区罗布庙 江西省萍乡市安源区五陂镇园艺分场 全真

275 安源区杨泗庙 江西省萍乡市安源区高坑镇高坑村 全真

276 安源区扶兴社 江西省萍乡市安源区高坑镇富田村 全真

278 安源区福主傩神庙 江西省萍乡市安源区安源镇十里村 正一

279 安源区嘉梓庙 江西省萍乡市安源区丹江街联星村 全真

280 安源区将军庙 江西省萍乡市安源区城郊管委会东星管理处 全真

281 安源区里善二王庙 江西省萍乡市安源区城郊管委会里善管理处 全真

282 安源区福主庙 江西省萍乡市安源区高坑镇王家源村 全真

283 安源区青山龙王庙 江西省萍乡市安源区青山镇青山村6组 正一

284 安源区峦岗庙 江西省萍乡市安源区安源镇跃进村 正一

285 安源区城隍庙 江西省萍乡市安源区城郊管委会井冲管理处 全真

286 安源区福主圣帝庙 江西省萍乡市安源区城郊管委会汪公潭管理处 全真

287 湘东区下埠傩神庙 江西省萍乡市湘东区下埠镇下埠村 正一

288 湘东区万寿宫 江西省萍乡市湘东区荷尧镇荷尧村 正一

289 湘东区苏塘傩神庙 江西省萍乡市湘东区下埠镇长春村 正一

290 湘东区伯约庙 江西省萍乡市湘东区荷尧镇青云村 正一

291 湘东区彭锦秀祠 江西省萍乡市湘东区荷尧镇泉陂村 正一

292 湘东区香山宫 江西省萍乡市湘东区荷尧镇大义村 正一

293 湘东区油塘万寿宫 江西省萍乡市湘东区老关镇油塘村 正一

294 湘东区木马天符宫 江西省萍乡市湘东区下埠镇木马村 正一

295 湘东区关帝庙 江西省萍乡市湘东区老关镇老关村 正一

296 湘东区龙王宫 江西省萍乡市湘东区湘东镇美建村 正一

297 湘东区赵公庙 江西省萍乡市湘东区排上镇大路里村 正一

298 湘东区傩神庙 江西省萍乡市湘东区排上镇横塘村 正一

299 湘东区傩神古庙 江西省萍乡市湘东区麻山镇汶泉村 正一

300 湘东区钟馗庙 江西省萍乡市湘东区湘东镇泉塘村 正一

301 湘东区范公庙 江西省萍乡市湘东区萍钢郭公塘居委会 正一

302 湘东区傩神二王庙 江西省萍乡市湘东区峡山口日星村 正一

303 湘东区牛皇火神庙 江西省萍乡市湘东区峡山口火星村 正一

304 湘东区麻山万寿宫 江西省萍乡市湘东区麻山镇麻山村 正一

305 湘东区新建大水庙 江西省萍乡市湘东区峡山口新建居委会 正一

306 湘东区杞木傩神庙 江西省萍乡市湘东区下埠镇杞木村 正一

307 湘东区兰台石王庙 江西省萍乡市湘东区东桥镇兰台村 正一

308 湘东区腊市万寿宫 江西省萍乡市湘东区腊市镇腊市村 正一

309 湘东区救塘钟馗庙 江西省萍乡市湘东区腊市镇救塘村 正一

310 湘东区排上关帝庙 江西省萍乡市湘东区排上镇排上村 正一

311 湘东区山田龙王庙 江西省萍乡市湘东区排上镇山田村 正一

312 湘东区文昌阁真人庙 江西省萍乡市湘东区东桥镇长塘村 正一

313 湘东区新建二王庙 江西省萍乡市湘东区峡山口新建村 正一

314 湘东区凤凰谢公庙 江西省萍乡市湘东区腊市镇凤凰村 正一

315 湘东区愈佳坊傩神庙 江西省萍乡市湘东区腊市镇炉前村 正一

316 湘东区巨源二王庙 江西省萍乡市湘东区湘东镇巨源村 正一

317 湘东区樟树龙王庙 江西省萍乡市湘东区湘东镇五里村 正一

